router,n,accuracy,unsupported_claim_rate,citation_precision,correct_abstain,correct_clarify,retrieval_usefulness,cost_per_query,avg_latency_ms,net_utility
learned_tfidf_logreg,90,1.0,0.0,1.0,1.0,1.0,1.0,0.17726666666666668,0.8536976697440777,3.2555555555555555
heuristic,90,0.6555555555555556,0.0,1.0,0.6,0.26666666666666666,0.94,0.22894444444444445,0.32063706441678935,1.9333333333333333
value_aligned_utility,90,0.6222222222222222,0.0,1.0,0.5333333333333333,0.06666666666666667,0.9444444444444444,0.2600888888888889,0.38923012325540185,1.7777777777777777
